id|timestamp|mti|card_number|amount_customer|merchant_type|merchant_id|merchant_address|ref_id|amount_merchant|response_code
069df969-2d1b-4eae-bb2d-abeba3efef8f|2015-03-01 03:25:04.890|0100|4405196510907554|58.69|3329|7|Super Hardware, 387 Broadway, San Francisco, ND, USA|||
3bb9e9e3-9f7e-49a2-acbe-3f9234b7b902|2015-03-01 03:25:05.198|0110|4405196510907554|58.69|3329|7|Super Hardware, 387 Broadway, San Francisco, ND, USA|069df969-2d1b-4eae-bb2d-abeba3efef8f|56.93|14
23acf7fc-7742-4c7a-8b81-8839c40d5161|2016-10-04 10:33:53.351|0100|4501291116576849|44.33|7941|42|Four Seasons Liquors, 437 Broadway, San Mateo, RI, USA|||
b4d81ddd-c7a5-43ca-a284-0b3ff2dee3f6|2016-10-04 10:33:54.010|0110|4501291116576849|44.33|7941|42|Four Seasons Liquors, 437 Broadway, San Mateo, RI, USA|23acf7fc-7742-4c7a-8b81-8839c40d5161|43.0|00
4baa00d9-2875-4146-854e-cb218e711370|2017-12-18 02:47:13.987|0100|4447966989959626|60.68|6610|76|Star Dry cleaners, 975 Market St, San Jose, MO, USA|||
6a1bff40-7d45-4cc5-be39-21527fc1eec1|2017-12-18 02:47:16.921|0110|4447966989959626|60.68|6610|76|Star Dry cleaners, 975 Market St, San Jose, MO, USA|4baa00d9-2875-4146-854e-cb218e711370|58.86|00
8f3df025-5e04-4d38-8bf7-7b893a7993a2|2016-10-25 16:58:59.598|0100|4806562971278075|7.12|7286|55|Sunny Auto, 4 Broadway, Foster City, KS, USA|||
53cc13fe-6493-4c3e-8c8d-52ead1555227|2016-10-25 16:59:02.558|0110|4806562971278075|7.12|7286|55|Sunny Auto, 4 Broadway, Foster City, KS, USA|8f3df025-5e04-4d38-8bf7-7b893a7993a2|6.91|00
1668eea8-48d9-45a3-a9d7-c51e683c8032|2015-08-17 13:45:35.574|0100|4848465758433406|56.67|7595|0|Sun Shine Dry cleaners, 512 Hillview St, Burlingame, AK, USA|||
10b834a8-2538-4ede-a25a-d3e9efedcce6|2015-08-17 13:45:38.316|0110|4848465758433406|56.67|7595|0|Sun Shine Dry cleaners, 512 Hillview St, Burlingame, AK, USA|1668eea8-48d9-45a3-a9d7-c51e683c8032|54.97|08
a76c8582-f204-4aba-9b13-1a4761c5b246|2018-05-21 16:25:39.375|0100|4587306589066729|74.87|3655|93|Best Toys, 474 Main st, San Francisco, NV, USA|||
e9181f63-c028-4021-b2e4-f7eccce75244|2018-05-21 16:25:42.197|0110|4587306589066729|74.87|3655|93|Best Toys, 474 Main st, San Francisco, NV, USA|a76c8582-f204-4aba-9b13-1a4761c5b246|72.62|00
46425785-509d-4c42-93c7-a06befc8e799|2018-03-09 15:01:45.427|0100|4623345127219565|80.91|7465|38|Super Auto, 327 Alameda ave, San Mateo, CT, USA|||
253169b5-48c0-4622-b072-532b05b1090c|2018-03-09 15:01:46.704|0110|4623345127219565|80.91|7465|38|Super Auto, 327 Alameda ave, San Mateo, CT, USA|46425785-509d-4c42-93c7-a06befc8e799|78.48|13
090bdae6-7521-448b-880c-857522b0ec15|2016-07-18 01:15:43.712|0100|4962496277770812|3.54|2935|87|Four Seasons Restaurant, 999 Broadway, Foster City, WA, USA|||
deee42bc-04eb-4578-ad6d-94b4d71873a2|2016-07-18 01:15:45.972|0110|4962496277770812|3.54|2935|87|Four Seasons Restaurant, 999 Broadway, Foster City, WA, USA|090bdae6-7521-448b-880c-857522b0ec15|3.43|00
640bea43-56bc-48b9-b50d-bc5f86ced8d3|2018-10-03 21:22:05.802|0100|4196371111209965|32.34|9140|0|Best Liquors, 432 Alameda ave, Burlingame, WV, USA|||
ad2ea9ed-804a-4ae9-950a-f0fbbd1d8817|2018-10-03 21:22:06.429|0110|4196371111209965|32.34|9140|0|Best Liquors, 432 Alameda ave, Burlingame, WV, USA|640bea43-56bc-48b9-b50d-bc5f86ced8d3|31.37|00
17abac67-b1ea-40ad-86dc-5b4eb5d78790|2017-01-10 08:40:07.703|0100|4327735496520835|37.14|3775|90|Sun Shine Restaurant, 979 Main st, Foster City, DE, USA|||
ea288b8b-2321-441a-b4a0-9c99ae9d45fc|2017-01-10 08:40:10.623|0110|4327735496520835|37.14|3775|90|Sun Shine Restaurant, 979 Main st, Foster City, DE, USA|17abac67-b1ea-40ad-86dc-5b4eb5d78790|36.03|00
