id,timestamp,mti,card_number,amount_customer,merchant_type,merchant_id,merchant_address,ref_id,amount_merchant,response_code
1c309b20-5074-41cd-8a46-45ebebe04cf4,2017-06-21 17:48:37.673,0100,4789625716349534,95.0,0167,81,"Star Hardware, 39 Broadway, Redwood City, UT, USA",,,
fd421703-f724-425b-99f7-436c7f2c2a8b,2017-06-21 17:48:40.425,0110,4789625716349534,95.0,0167,81,"Star Hardware, 39 Broadway, Redwood City, UT, USA",1c309b20-5074-41cd-8a46-45ebebe04cf4,92.15,00
f06b52bc-2944-4080-ad27-f1f8de116394,2017-09-27 14:26:07.825,0100,4885453044056032,8.19,8371,0,"Super Nursery, 998 Alameda ave, San Francisco, OK, USA",,,
11deb9b1-e9b8-4fbd-87d8-59bc3e026899,2017-09-27 14:26:08.336,0110,4885453044056032,8.19,8371,0,"Super Nursery, 998 Alameda ave, San Francisco, OK, USA",f06b52bc-2944-4080-ad27-f1f8de116394,7.94,08
1c8b6836-b6e8-4f3d-b3b4-a90adbbf24f8,2015-02-12 05:33:48.391,0100,4192189306372703,8.93,4245,44,"Summer Winds Dry cleaners, 611 Alameda ave, San Francisco, ND, USA",,,
e07fe94c-ae66-48d2-9ee4-bf4ac477f2dc,2015-02-12 05:33:49.830,0110,4192189306372703,8.93,4245,44,"Summer Winds Dry cleaners, 611 Alameda ave, San Francisco, ND, USA",1c8b6836-b6e8-4f3d-b3b4-a90adbbf24f8,8.66,13
919e65a3-fe22-42e6-bc79-933b1702a004,2019-08-04 14:22:19.402,0100,4532702044918856,49.18,1625,0,"First Restaurant, 178 Market St, Redwood City, AZ, USA",,,
accc1ecc-037e-4428-a675-3fc8d25b170e,2019-08-04 14:22:21.934,0110,4532702044918856,49.18,1625,0,"First Restaurant, 178 Market St, Redwood City, AZ, USA",919e65a3-fe22-42e6-bc79-933b1702a004,47.7,00
74ba886f-9be5-4c99-a892-47efb4263202,2019-06-24 21:38:04.747,0100,4122937968520189,19.18,0328,39,"Star Nursery, 332 Beach rd, Foster City, MT, USA",,,
697a72e7-0ffa-4b8f-938f-a61a7d53c333,2019-06-24 21:38:06.314,0110,4122937968520189,19.18,0328,39,"Star Nursery, 332 Beach rd, Foster City, MT, USA",74ba886f-9be5-4c99-a892-47efb4263202,18.6,00
0fe9faac-3c43-4959-9008-0687178ef6e8,2018-08-15 20:16:26.447,0100,4934442157380292,55.33,0672,66,"Summer Winds Hardware, 776 Broadway, San Mateo, KY, USA",,,
0a8c21c7-8a1d-427c-86e1-82a6e13466d5,2018-08-15 20:16:28.905,0110,4934442157380292,55.33,0672,66,"Summer Winds Hardware, 776 Broadway, San Mateo, KY, USA",0fe9faac-3c43-4959-9008-0687178ef6e8,53.67,00
7e07c4ac-b46a-44e6-b76f-19286a9ac1a7,2017-05-26 16:55:15.509,0100,4328418993612223,6.66,8256,98,"Super Bakery, 127 Market St, Foster City, ID, USA",,,
7b2a61bc-bb43-4a93-a9f8-2c441e0649b2,2017-05-26 16:55:17.555,0110,4328418993612223,6.66,8256,98,"Super Bakery, 127 Market St, Foster City, ID, USA",7e07c4ac-b46a-44e6-b76f-19286a9ac1a7,6.46,00
6de9f2ef-ee89-4704-a578-c9156b4c5e83,2018-01-23 23:26:01.401,0100,4464697836546129,29.93,6894,0,"Best Liquors, 511 Market St, Redwood City, NV, USA",,,
c7e633f2-21be-4694-995c-3a109d115acd,2018-01-23 23:26:04.303,0110,4464697836546129,29.93,6894,0,"Best Liquors, 511 Market St, Redwood City, NV, USA",6de9f2ef-ee89-4704-a578-c9156b4c5e83,29.03,00
cc5ac85b-ea64-437b-bc07-53893d11013e,2015-09-03 18:46:03.509,0100,4736706088508349,34.3,7941,0,"Awesome Auto, 514 Main st, San Jose, MA, USA",,,
8a9ec4a8-9e19-484b-aa78-1eb17a873527,2015-09-03 18:46:05.191,0110,4736706088508349,34.3,7941,0,"Awesome Auto, 514 Main st, San Jose, MA, USA",cc5ac85b-ea64-437b-bc07-53893d11013e,33.27,13
91b2d8e9-8a1f-4e08-b1ae-1b8d10079a96,2018-01-18 08:23:37.240,0100,4975243860272126,76.07,1403,0,"Best Donuts, 804 Beach rd, Foster City, ND, USA",,,
56860d23-ae58-47d5-b26d-66e3c7126332,2018-01-18 08:23:37.832,0110,4975243860272126,76.07,1403,0,"Best Donuts, 804 Beach rd, Foster City, ND, USA",91b2d8e9-8a1f-4e08-b1ae-1b8d10079a96,73.79,13
